1,"101","Uniforme","Uniforme Italia","hombre","../img/uniformes/uniforme-italia.jpg",45000.0,50000.0,0.111111,5,1
2,"102","Sudadera","Sudadera Barcelona","hombre","../img/sudaderas/equipos/sudadera-barcelona.jpeg",27000.0,32000.0,0.185185,6,1
3,"203","Camiseta","Camiseta Abercrombie","hombre","../img/camisetas/camiseta-abercrombie.jpg",55000.0,60000.0,0.0909091,7,1
4,"204","Pantaloneta","Pantaloneta Calvin Klein","hombre","../img/pantalonetas/pantalonetas-ck.jpg",36000.0,41000.0,0.138889,8,1
5,"305","Jogger","Jogger Reebok","hombre","../img/joggers/jogger-reebok.jpg",25000.0,30000.0,0.2,9,1
6,"306","Uniforme","Uniforme Brasil","hombre","../img/uniformes/uniforme-brasil.jpg",18000.0,23000.0,0.277778,4,1
7,"307","Sudadera","Sudadera Nike Dama","mujer","../img/sudaderas/NoEquipos/sudadera-nike-dama.jpg",49000.0,54000.0,0.102041,3,1
8,"408","Sudadera","Sudadera Chanel Dama","mujer","../img/sudaderas/NoEquipos/sudadera-chanel-dama.jpg",53000.0,58000.0,0.0943396,6,1
9,"409","Sudadera","Sudadera Borussia Dortmund","hombre","../img/sudaderas/equipos/sudadera-bd.jpg",51000.0,56000.0,0.0980392,6,1
10,"410","Sudadera","Sudadera Roma","hombre","../img/sudaderas/equipos/sudadera-roma.jpg",51500.0,58000.0,0.0990392,6,1
